GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab2,lab.demand,ManageDemand,0,106,0,8,0,28,0,10,0,6
lab2,lab.demand,Tax,9,47,0,6,3,14,3,8,3,5
lab2,lab.demand,Order,8,15,0,0,4,6,2,3,2,3
lab2,lab,Main,93,0,0,0,16,0,3,0,3,0
